country,real_overall_happiness,real_gdp,real_social_support,real_health,real_freedom,real_generosity,real_corruption,real_life_evaluation,approach,llm_overall_happiness,llm_gdp,llm_social_support,llm_health,llm_freedom,llm_generosity,llm_corruption,llm_life_evaluation,diff_overall_happiness,diff_life_evaluation,diff_gdp,diff_social_support,diff_health,diff_freedom,diff_generosity,diff_corruption,region,income_level,global_north_south,world_123,east_west,continent,developed_country_type,developed_east_vs_west,economic_model
Libya,5.82,1.247,1.309,0.549,0.724,0.111,0.214,5.82,few_shot,4.725,4.15,6.88,5.89,4.68,3.13,1.725,4.725,-1.0950000000000006,-1.0950000000000006,2.9030000000000005,5.571,5.340999999999999,3.956,3.019,1.511,Africa,Upper Middle Income,Global South,World 2,Other,Africa,Non-Developed,Non-Developed,Non-High Income
Lithuania,6.829,1.684,1.699,0.592,0.702,0.031,0.123,6.829,few_shot,6.235,5.575,7.459999999999999,6.404999999999999,6.859999999999999,3.465,5.385,6.235,-0.5939999999999994,-0.5939999999999994,3.891,5.760999999999999,5.813,6.158,3.434,5.262,Eastern Europe,Upper Middle Income,Global North,World 2,East,Europe,Non-Developed,Non-Developed,Non-High Income
Luxembourg,7.122,2.028,1.558,0.864,0.931,0.117,0.397,7.122,few_shot,6.984999999999999,6.965000000000001,7.83,6.815,7.195,4.14,7.729999999999999,6.984999999999999,-0.1370000000000004,-0.1370000000000004,4.937000000000001,6.272,5.9510000000000005,6.264,4.023,7.332999999999999,Western Europe,High Income,Global North,World 1,West,Europe,Central Europe,Developed West,Other High Income
Madagascar,4.157,0.588,0.938,0.341,0.292,0.131,0.118,4.157,few_shot,4.93,3.97,6.93,5.855,5.625,3.155,2.455,4.93,0.7729999999999997,0.7729999999999997,3.382,5.992,5.513999999999999,5.333,3.024,2.337,Other,Lower Middle Income,Global South,World 2,Other,Other,Non-Developed,Non-Developed,Non-High Income
Malawi,3.26,0.588,0.489,0.28,0.677,0.115,0.136,3.26,few_shot,4.9,3.905,6.965000000000001,5.805,5.735,3.375,2.635,4.9,1.6400000000000006,1.6400000000000006,3.317,6.476000000000001,5.525,5.058,3.26,2.499,Other,Lower Middle Income,Global South,World 2,Other,Other,Non-Developed,Non-Developed,Non-High Income
Malaysia,5.955,1.571,1.315,0.446,0.991,0.181,0.11,5.955,few_shot,6.0,5.505,7.325,6.2700000000000005,6.245,3.635,3.88,6.0,0.0449999999999999,0.0449999999999999,3.934,6.01,5.824000000000001,5.254,3.454,3.77,Other,Upper Middle Income,Global South,World 2,Other,Other,Non-Developed,Non-Developed,Non-High Income
Mali,4.345,0.709,0.908,0.318,0.767,0.093,0.114,4.345,few_shot,4.654999999999999,3.92,6.8950000000000005,5.654999999999999,4.995,3.3549999999999995,2.175,4.654999999999999,0.3099999999999996,0.3099999999999996,3.2110000000000003,5.987,5.337,4.228,3.262,2.061,Other,Lower Middle Income,Global South,World 2,Other,Other,Non-Developed,Non-Developed,Non-High Income
Malta,6.316,1.76,1.671,0.837,0.837,0.217,0.115,6.316,few_shot,6.415000000000001,5.885,7.590000000000001,6.56,6.534999999999999,3.66,3.875,6.415000000000001,0.099000000000001,0.099000000000001,4.125,5.9190000000000005,5.723,5.698,3.443,3.76,Western Europe,Upper Middle Income,Global North,World 2,West,Europe,Non-Developed,Non-Developed,Non-High Income
Mauritania,4.542,1.023,0.919,0.516,0.454,0.113,0.195,4.542,few_shot,5.0200000000000005,4.355,6.904999999999999,5.795,5.38,3.2700000000000005,2.575,5.0200000000000005,0.4780000000000006,0.4780000000000006,3.332,5.985999999999999,5.279,4.926,3.1570000000000005,2.3800000000000003,Other,Upper Middle Income,Global South,World 2,Other,Other,Non-Developed,Non-Developed,Non-High Income
Mauritius,5.832,1.499,1.521,0.617,0.761,0.095,0.13,5.832,few_shot,6.1450000000000005,5.5200000000000005,7.43,6.409999999999999,6.45,3.615,4.3950000000000005,6.1450000000000005,0.3130000000000006,0.3130000000000006,4.021000000000001,5.909,5.792999999999999,5.689,3.52,4.265000000000001,Africa,Upper Middle Income,Global South,World 2,Other,Africa,Non-Developed,Non-Developed,Non-High Income
Mexico,6.979,1.435,1.504,0.55,0.879,0.057,0.118,6.979,few_shot,5.84,5.18,7.42,6.285,6.305,3.435,2.685,5.84,-1.1390000000000002,-1.1390000000000002,3.745,5.916,5.735,5.426,3.378,2.567,North America,Upper Middle Income,Global South,World 2,West,North America,Non-Developed,Non-Developed,Non-High Income
Mongolia,5.833,1.336,1.731,0.423,0.629,0.18,0.053,5.833,few_shot,5.54,4.83,7.175,5.975,6.15,3.315,2.875,5.54,-0.2930000000000001,-0.2930000000000001,3.494,5.444,5.552,5.521000000000001,3.135,2.822,East Asia,Upper Middle Income,Global South,World 2,East,Asia,Non-Developed,Non-Developed,Non-High Income
Montenegro,5.877,1.507,1.551,0.618,0.768,0.075,0.138,5.877,few_shot,5.835,5.13,7.390000000000001,6.335,6.345000000000001,3.425,3.005,5.835,-0.0419999999999998,-0.0419999999999998,3.623,5.839,5.717,5.577000000000001,3.35,2.867,Other,Upper Middle Income,Global South,World 2,Other,Other,Non-Developed,Non-Developed,Non-High Income
Morocco,4.622,1.139,0.635,0.585,0.748,0.031,0.095,4.622,few_shot,5.555,4.855,7.18,6.125,5.865,3.345,3.1,5.555,0.9329999999999998,0.9329999999999998,3.7159999999999993,6.545,5.54,5.117,3.314,3.005,Africa,Lower Middle Income,Global South,World 2,Other,Africa,Non-Developed,Non-Developed,Non-High Income
Mozambique,5.19,0.559,1.131,0.124,0.813,0.127,0.173,5.19,few_shot,4.97,4.135,6.935,5.865,5.625,3.22,2.32,4.97,-0.2200000000000006,-0.2200000000000006,3.576,5.803999999999999,5.7410000000000005,4.812,3.093,2.147,Other,Low Income,Global South,World 3,Other,Other,Non-Developed,Non-Developed,Non-High Income
Myanmar,4.321,0.975,1.144,0.446,0.569,0.322,0.163,4.321,few_shot,4.32,3.770000000000001,6.705,5.64,3.43,3.345,1.5,4.32,-0.0009999999999994,-0.0009999999999994,2.7950000000000004,5.561,5.194,2.861,3.023,1.337,Other,Upper Middle Income,Global South,World 2,Other,Other,Non-Developed,Non-Developed,Non-High Income
Namibia,4.911,1.182,1.482,0.104,0.564,0.052,0.056,4.911,few_shot,5.62,5.04,7.225,6.16,6.2700000000000005,3.45,3.5,5.62,0.7090000000000005,0.7090000000000005,3.858,5.742999999999999,6.056,5.706,3.398,3.444,Other,Upper Middle Income,Global South,World 2,Other,Other,Non-Developed,Non-Developed,Non-High Income
Nepal,5.311,0.944,1.21,0.463,0.764,0.155,0.099,5.311,few_shot,5.44,4.745,7.19,6.025,6.0200000000000005,3.455,2.675,5.44,0.1289999999999995,0.1289999999999995,3.801,5.98,5.562,5.256,3.3,2.576,South Asia,Low Income,Global South,World 3,East,Asia,Non-Developed,Non-Developed,Non-High Income
Netherlands,7.306,1.822,1.667,0.844,0.86,0.186,0.344,7.306,few_shot,6.8,6.385,7.725,6.705,7.13,4.0200000000000005,7.12,6.8,-0.5060000000000002,-0.5060000000000002,4.563,6.058,5.861,6.27,3.834000000000001,6.776,Western Europe,High Income,Global North,World 1,West,Europe,Central Europe,Developed West,Social Market
New Zealand,6.952,1.698,1.712,0.815,0.861,0.167,0.429,6.952,few_shot,6.57,5.775,7.645,6.63,6.909999999999999,3.965,7.459999999999999,6.57,-0.3819999999999997,-0.3819999999999997,4.077,5.933000000000001,5.815,6.049,3.798,7.030999999999999,Oceania,High Income,Global North,World 1,West,Oceania,Anglo-Saxon,Developed West,Market Liberal
Nicaragua,6.33,1.084,1.47,0.646,0.912,0.103,0.271,6.33,few_shot,5.29,4.535,7.140000000000001,6.14,4.585,3.38,2.015,5.29,-1.04,-1.04,3.451,5.670000000000001,5.494,3.673,3.277,1.7439999999999998,North America,Upper Middle Income,Global South,World 2,West,North America,Non-Developed,Non-Developed,Non-High Income
Niger,4.725,0.606,0.796,0.258,0.759,0.122,0.137,4.725,few_shot,4.51,3.775,6.855,5.529999999999999,5.09,3.31,2.355,4.51,-0.2149999999999998,-0.2149999999999998,3.169,6.058999999999999,5.271999999999999,4.331,3.188,2.218,Other,Lower Middle Income,Global South,World 2,Other,Other,Non-Developed,Non-Developed,Non-High Income
Nigeria,4.885,0.989,1.245,0.38,0.639,0.17,0.028,4.885,few_shot,4.86,3.92,6.9,5.925,5.51,3.46,1.945,4.86,-0.0249999999999994,-0.0249999999999994,2.9310000000000005,5.655,5.545,4.871,3.29,1.917,Africa,Upper Middle Income,Global South,World 2,Other,Africa,Non-Developed,Non-Developed,Non-High Income
North Macedonia,5.503,1.458,1.537,0.544,0.637,0.13,0.007,5.503,few_shot,5.595000000000001,4.775,7.24,6.2,6.0600000000000005,3.185,2.725,5.595000000000001,0.0920000000000005,0.0920000000000005,3.317,5.703,5.656000000000001,5.423,3.055,2.718,Other,Upper Middle Income,Global South,World 2,Other,Other,Non-Developed,Non-Developed,Non-High Income
Norway,7.262,1.902,1.711,0.863,0.962,0.168,0.425,7.262,few_shot,6.975,6.665000000000001,7.909999999999999,6.93,7.35,4.125,8.165000000000001,6.975,-0.2869999999999999,-0.2869999999999999,4.763000000000001,6.198999999999999,6.067,6.388,3.957,7.740000000000001,Western Europe,High Income,Global North,World 1,West,Europe,Nordic,Developed West,Social Market
Oman,6.197,1.603,1.411,0.5,0.93,0.142,,6.197,few_shot,6.425,6.14,7.62,6.575,6.245,4.0600000000000005,6.15,6.425,0.2279999999999997,0.2279999999999997,4.537,6.209,6.075,5.315,3.9180000000000006,,Middle East,Upper Middle Income,Global South,World 2,East,Asia,Non-Developed,Non-Developed,Non-High Income
Pakistan,4.768,0.982,0.759,0.417,0.529,0.136,0.046,4.768,few_shot,5.0,4.175,6.93,5.79,5.205,3.435,2.1100000000000003,5.0,0.2320000000000002,0.2320000000000002,3.193,6.170999999999999,5.373,4.676,3.299,2.0640000000000005,South Asia,Low Income,Global South,World 3,East,Asia,Non-Developed,Non-Developed,Non-High Income
Panama,6.407,1.594,1.6,0.717,0.876,0.041,0.042,6.407,few_shot,6.0,5.415,7.445,6.375,6.425,3.565,2.99,6.0,-0.407,-0.407,3.821,5.845000000000001,5.658,5.549,3.524,2.948,North America,Upper Middle Income,Global South,World 2,West,North America,Non-Developed,Non-Developed,Non-High Income
Paraguay,6.172,1.329,1.615,0.291,0.921,0.097,0.063,6.172,few_shot,5.745,5.075,7.359999999999999,6.2700000000000005,6.3100000000000005,3.37,2.665,5.745,-0.4269999999999996,-0.4269999999999996,3.746,5.744999999999999,5.979,5.389,3.273,2.602,Latin America,Upper Middle Income,Global South,World 2,West,South America,Non-Developed,Non-Developed,Non-High Income
Peru,5.947,1.323,1.364,0.551,0.71,0.05,0.021,5.947,few_shot,5.66,5.055,7.234999999999999,6.2700000000000005,6.135,3.385,2.415,5.66,-0.2869999999999999,-0.2869999999999999,3.732,5.871,5.719,5.425,3.3350000000000004,2.394,Latin America,Lower Middle Income,Global South,World 2,West,South America,Non-Developed,Non-Developed,Non-High Income
Philippines,6.107,1.177,1.385,0.315,0.966,0.075,0.11,6.107,few_shot,5.75,5.0600000000000005,7.35,6.08,6.125,3.635,2.82,5.75,-0.3570000000000002,-0.3570000000000002,3.883000000000001,5.965,5.765,5.159,3.56,2.71,East Asia,Lower Middle Income,Global South,World 2,East,Asia,Non-Developed,Non-Developed,Non-High Income
Poland,6.673,1.666,1.595,0.63,0.79,0.021,0.169,6.673,few_shot,6.11,5.46,7.49,6.36,6.49,3.505,3.91,6.11,-0.5629999999999997,-0.5629999999999997,3.794,5.8950000000000005,5.73,5.7,3.484,3.741,Eastern Europe,Upper Middle Income,Global North,World 2,East,Europe,Non-Developed,Non-Developed,Non-High Income
Portugal,6.013,1.646,1.56,0.822,0.879,0.04,0.034,6.013,few_shot,6.13,5.255,7.529999999999999,6.495,6.515000000000001,3.4,4.24,6.13,0.1169999999999999,0.1169999999999999,3.609,5.969999999999999,5.673,5.636000000000001,3.36,4.206,Western Europe,Upper Middle Income,Global North,World 2,West,Europe,Non-Developed,Non-Developed,Non-High Income
Republic of Korea,6.038,1.709,1.357,0.903,0.678,0.1,0.139,6.038,few_shot,6.085,5.654999999999999,7.205,6.435,6.2,3.44,4.355,6.085,0.0469999999999997,0.0469999999999997,3.9459999999999993,5.848,5.532,5.522,3.34,4.215999999999999,Other,Upper Middle Income,Global South,World 2,Other,Other,Non-Developed,Non-Developed,Non-High Income
Republic of Moldova,5.819,1.332,1.43,0.414,0.83,0.054,0.037,5.819,few_shot,5.37,4.515,7.1,6.105,6.07,3.255,2.685,5.37,-0.4489999999999998,-0.4489999999999998,3.183,5.67,5.691,5.24,3.201,2.648,Other,Upper Middle Income,Global South,World 2,Other,Other,Non-Developed,Non-Developed,Non-High Income
Romania,6.563,1.636,1.401,0.561,0.847,0.028,0.015,6.563,few_shot,5.865,5.215,7.354999999999999,6.21,6.455,3.33,3.135,5.865,-0.6979999999999995,-0.6979999999999995,3.579,5.954,5.649,5.6080000000000005,3.302,3.12,Eastern Europe,Upper Middle Income,Global South,World 2,East,Europe,Non-Developed,Non-Developed,Non-High Income
Russian Federation,5.945,1.63,1.549,0.47,0.702,0.095,0.125,5.945,few_shot,5.36,4.76,7.095000000000001,6.045,4.42,3.22,2.16,5.36,-0.585,-0.585,3.13,5.546000000000001,5.575,3.718,3.125,2.035,Other,Upper Middle Income,Global South,World 2,Other,Other,Non-Developed,Non-Developed,Non-High Income
Saudi Arabia,6.6,1.743,1.566,0.714,0.915,0.105,0.187,6.6,few_shot,6.305,6.2700000000000005,7.484999999999999,6.45,5.86,4.3100000000000005,4.4,6.305,-0.2949999999999999,-0.2949999999999999,4.527,5.919,5.736000000000001,4.945,4.205,4.213,Middle East,High Income,Global North,World 1,East,Asia,Middle East Developed,Other Developed,Resource-Based
Senegal,4.856,0.907,0.977,0.433,0.767,0.129,0.09,4.856,few_shot,5.43,4.615,7.25,6.085,5.96,3.6,3.16,5.43,0.5739999999999998,0.5739999999999998,3.708,6.273,5.652,5.193,3.471,3.0700000000000003,Africa,Lower Middle Income,Global South,World 2,Other,Africa,Non-Developed,Non-Developed,Non-High Income
Serbia,6.606,1.489,1.62,0.545,0.767,0.131,0.107,6.606,few_shot,5.62,4.904999999999999,7.315,6.21,6.085,3.18,2.59,5.62,-0.9859999999999998,-0.9859999999999998,3.4159999999999995,5.695,5.665,5.318,3.0490000000000004,2.483,Eastern Europe,Upper Middle Income,Global South,World 2,East,Europe,Non-Developed,Non-Developed,Non-High Income
Sierra Leone,2.998,0.786,0.692,0.327,0.613,0.138,0.052,2.998,few_shot,4.74,3.905,6.925,5.575,5.575,3.515,2.305,4.74,1.742,1.742,3.119,6.233,5.248,4.962,3.377,2.253,Other,Lower Middle Income,Global South,World 2,Other,Other,Non-Developed,Non-Developed,Non-High Income
Singapore,6.565,2.022,1.565,0.935,0.856,0.164,0.522,6.565,few_shot,6.63,6.279999999999999,7.45,6.640000000000001,6.565,3.87,8.209999999999999,6.63,0.0649999999999995,0.0649999999999995,4.257999999999999,5.885,5.705,5.7090000000000005,3.706,7.687999999999999,East Asia,High Income,Global North,World 1,East,Asia,Developed East Asia,Developed East Asia,State-Led Development
Slovakia,6.221,1.629,1.762,0.547,0.704,0.058,0.07,6.221,few_shot,6.0200000000000005,5.38,7.470000000000001,6.33,6.49,3.37,3.555,6.0200000000000005,-0.2009999999999996,-0.2009999999999996,3.751,5.708,5.783,5.7860000000000005,3.3120000000000003,3.485,Eastern Europe,Upper Middle Income,Global North,World 2,East,Europe,Non-Developed,Non-Developed,Non-High Income
Slovenia,6.792,1.692,1.718,0.802,0.961,0.121,0.113,6.792,few_shot,6.575,5.89,7.715000000000001,6.635,6.9,3.66,5.1850000000000005,6.575,-0.2169999999999996,-0.2169999999999996,4.198,5.997000000000001,5.833,5.939,3.539,5.072,Eastern Europe,Upper Middle Income,Global North,World 2,East,Europe,Non-Developed,Non-Developed,Non-High Income
Somalia,4.347,0.535,0.877,0.046,0.916,0.206,0.192,4.347,few_shot,4.535,3.865,6.945,5.535,4.68,3.745,1.745,4.535,0.1879999999999997,0.1879999999999997,3.33,6.0680000000000005,5.489,3.764,3.539,1.553,Other,Lower Middle Income,Global South,World 2,Other,Other,Non-Developed,Non-Developed,Non-High Income
South Africa,5.213,1.283,1.465,0.142,0.676,0.064,0.043,5.213,few_shot,5.3950000000000005,4.915,7.140000000000001,6.2,5.95,3.47,2.2350000000000003,5.3950000000000005,0.1820000000000003,0.1820000000000003,3.632,5.675000000000001,6.058,5.274,3.406,2.192,Africa,Upper Middle Income,Global South,World 2,Other,Africa,Non-Developed,Non-Developed,Non-High Income
Spain,6.466,1.69,1.685,0.894,0.734,0.112,0.18,6.466,few_shot,6.33,5.6450000000000005,7.56,6.57,6.609999999999999,3.51,4.35,6.33,-0.1360000000000001,-0.1360000000000001,3.955000000000001,5.875,5.676,5.876,3.398,4.17,Western Europe,Upper Middle Income,Global North,World 2,West,Europe,Non-Developed,Non-Developed,Non-High Income
Sri Lanka,3.891,1.271,1.308,0.567,0.696,0.121,0.025,3.891,few_shot,5.225,4.295,7.115,6.12,5.785,3.3300000000000005,2.3600000000000003,5.225,1.3339999999999996,1.3339999999999996,3.024,5.807,5.553,5.089,3.2090000000000005,2.3350000000000004,South Asia,Upper Middle Income,Global South,World 2,East,Asia,Non-Developed,Non-Developed,Non-High Income
State of Palestine,4.78,1.047,1.456,,0.618,0.055,0.081,4.78,few_shot,3.7,3.37,6.865,5.615,2.89,3.465,2.0,3.7,-1.08,-1.08,2.3230000000000004,5.409000000000001,,2.272,3.41,1.919,Other,Upper Middle Income,Global South,World 2,Other,Other,Non-Developed,Non-Developed,Non-High Income
Sweden,7.345,1.783,1.698,0.889,0.952,0.17,0.467,7.345,few_shot,6.790000000000001,6.275,7.859999999999999,6.715000000000001,7.215000000000001,4.01,7.415000000000001,6.790000000000001,-0.5549999999999988,-0.5549999999999988,4.492000000000001,6.161999999999999,5.8260000000000005,6.263000000000001,3.84,6.948000000000001,Western Europe,High Income,Global North,World 1,West,Europe,Nordic,Developed West,Social Market
Switzerland,6.935,1.87,1.622,0.883,0.889,0.156,0.468,6.935,few_shot,6.970000000000001,6.755,7.82,6.915000000000001,7.205,4.135,7.840000000000001,6.970000000000001,0.035000000000001,0.035000000000001,4.885,6.198,6.032000000000001,6.316,3.979,7.372000000000001,Western Europe,High Income,Global North,World 1,West,Europe,Central Europe,Developed West,Social Market
Taiwan Province of China,6.669,1.73,1.583,0.817,0.76,0.057,0.187,6.669,few_shot,6.409999999999999,5.875,7.529999999999999,6.6,6.63,3.83,6.365,6.409999999999999,-0.2590000000000003,-0.2590000000000003,4.145,5.946999999999999,5.783,5.87,3.773,6.178,Other,Upper Middle Income,Global South,World 2,Other,Other,Non-Developed,Non-Developed,Non-High Income
Tajikistan,5.411,0.914,1.555,0.658,,0.085,0.342,5.411,few_shot,5.09,4.205,7.0200000000000005,5.99,4.915,3.185,2.415,5.09,-0.3209999999999997,-0.3209999999999997,3.291,5.465000000000001,5.332,,3.1,2.073,Other,Lower Middle Income,Global South,World 2,Other,Other,Non-Developed,Non-Developed,Non-High Income
Tanzania,3.8,0.847,0.908,0.411,0.858,0.153,0.243,3.8,few_shot,5.455,4.6850000000000005,7.154999999999999,5.99,5.9350000000000005,3.59,3.265,5.455,1.6550000000000002,1.6550000000000002,3.838000000000001,6.246999999999999,5.579000000000001,5.077000000000001,3.437,3.022,Other,Low Income,Global South,World 3,Other,Other,Non-Developed,Non-Developed,Non-High Income
Thailand,6.222,1.426,1.551,0.633,0.927,0.223,0.039,6.222,few_shot,5.965,5.345000000000001,7.33,6.245,6.16,3.665,3.365,5.965,-0.2570000000000005,-0.2570000000000005,3.919000000000001,5.779,5.612,5.2330000000000005,3.442,3.326,East Asia,Upper Middle Income,Global South,World 2,East,Asia,Non-Developed,Non-Developed,Non-High Income
Togo,4.315,0.757,0.736,0.378,0.576,0.097,0.153,4.315,few_shot,4.99,4.154999999999999,6.915000000000001,5.88,5.45,3.3950000000000005,2.585,4.99,0.6749999999999998,0.6749999999999998,3.3979999999999992,6.179000000000001,5.502,4.8740000000000006,3.2980000000000005,2.432,Other,Lower Middle Income,Global South,World 2,Other,Other,Non-Developed,Non-Developed,Non-High Income
Trinidad and Tobago,5.905,1.549,1.532,0.419,0.76,0.111,0.001,5.905,few_shot,5.715,5.325,7.305,6.3100000000000005,6.21,3.625,3.0,5.715,-0.1900000000000004,-0.1900000000000004,3.776,5.773,5.891000000000001,5.45,3.514,2.999,Other,Upper Middle Income,Global South,World 2,Other,Other,Non-Developed,Non-Developed,Non-High Income
Tunisia,4.552,1.257,1.224,0.459,0.382,0.032,0.05,4.552,few_shot,5.165,4.225,7.034999999999999,6.11,5.39,3.18,2.52,5.165,0.6130000000000004,0.6130000000000004,2.968,5.810999999999999,5.651000000000001,5.008,3.148,2.47,Africa,Lower Middle Income,Global South,World 2,Other,Africa,Non-Developed,Non-Developed,Non-High Income
Türkiye,5.262,1.582,1.444,0.626,0.244,0.04,0.104,5.262,few_shot,5.295,4.095000000000001,7.18,6.12,5.4,3.245,2.29,5.295,0.0330000000000003,0.0330000000000003,2.513000000000001,5.736,5.494,5.156000000000001,3.205,2.186,Other,Upper Middle Income,Global South,World 2,Other,Other,Non-Developed,Non-Developed,Non-High Income
Uganda,4.461,0.762,1.342,0.396,0.751,0.148,0.05,4.461,few_shot,5.175,4.385,7.034999999999999,5.95,5.705,3.515,2.325,5.175,0.7139999999999995,0.7139999999999995,3.623,5.693,5.554,4.954,3.3669999999999995,2.2750000000000004,Other,Lower Middle Income,Global South,World 2,Other,Other,Non-Developed,Non-Developed,Non-High Income
Ukraine,4.68,1.328,1.472,0.472,0.689,0.245,0.023,4.68,few_shot,4.665,4.42,7.045,5.7700000000000005,5.04,4.045,2.335,4.665,-0.0149999999999996,-0.0149999999999996,3.092,5.573,5.298,4.351,3.8,2.312,Eastern Europe,Lower Middle Income,Global South,World 2,East,Europe,Non-Developed,Non-Developed,Non-High Income
United Arab Emirates,6.759,1.812,1.294,0.659,0.934,0.165,0.235,6.759,few_shot,6.904999999999999,7.065,7.709999999999999,6.73,6.659999999999999,4.595000000000001,7.015000000000001,6.904999999999999,0.145999999999999,0.145999999999999,5.253,6.415999999999999,6.071,5.725999999999999,4.430000000000001,6.78,Middle East,High Income,Global North,World 1,East,Asia,Middle East Developed,Other Developed,Resource-Based
United Kingdom,6.728,1.725,1.562,0.779,0.872,0.211,0.318,6.728,few_shot,6.2,5.475,7.425,6.43,6.555,3.835,4.21,6.2,-0.5279999999999996,-0.5279999999999996,3.75,5.863,5.651,5.683,3.624,3.892,Western Europe,Upper Middle Income,Global North,World 2,West,Europe,Non-Developed,Non-Developed,Non-High Income
United States,6.724,1.839,1.614,0.604,0.644,0.171,0.161,6.724,few_shot,6.25,5.779999999999999,7.409999999999999,6.484999999999999,6.605,3.915,3.45,6.25,-0.4740000000000002,-0.4740000000000002,3.941,5.795999999999999,5.880999999999999,5.960999999999999,3.744,3.289,North America,High Income,Global North,World 1,West,North America,Anglo-Saxon,Developed West,Market Liberal
Uruguay,6.661,1.554,1.654,0.523,0.913,0.078,0.197,6.661,few_shot,6.335,5.61,7.635,6.49,6.685,3.54,6.995,6.335,-0.3259999999999996,-0.3259999999999996,4.056,5.981,5.9670000000000005,5.771999999999999,3.462,6.798,Latin America,Upper Middle Income,Global South,World 2,West,South America,Non-Developed,Non-Developed,Non-High Income
Uzbekistan,6.193,1.179,1.615,0.654,0.977,0.195,0.208,6.193,few_shot,5.6,4.855,7.18,6.05,5.5600000000000005,3.4200000000000004,2.8,5.6,-0.593,-0.593,3.6759999999999993,5.565,5.396,4.583,3.2250000000000005,2.592,Other,Upper Middle Income,Global South,World 2,Other,Other,Non-Developed,Non-Developed,Non-High Income
Venezuela,5.683,0.0,1.493,0.515,0.702,0.154,0.117,5.683,few_shot,4.725,3.67,7.040000000000001,5.98,4.865,3.13,1.49,4.725,-0.9580000000000002,-0.9580000000000002,3.67,5.547000000000001,5.465,4.163,2.976,1.373,Latin America,Low Income,Global South,World 3,West,South America,Non-Developed,Non-Developed,Non-High Income
Viet Nam,6.352,1.278,1.533,0.631,1.012,0.039,0.174,6.352,few_shot,5.970000000000001,5.41,7.290000000000001,6.215,5.970000000000001,3.59,3.555,5.970000000000001,-0.3819999999999997,-0.3819999999999997,4.132,5.7570000000000014,5.584,4.958,3.551,3.381,Other,Upper Middle Income,Global South,World 2,Other,Other,Non-Developed,Non-Developed,Non-High Income
Yemen,3.561,0.631,1.482,0.375,0.447,0.066,0.106,3.561,few_shot,3.95,3.29,6.625,5.26,3.865,3.05,1.515,3.95,0.3890000000000002,0.3890000000000002,2.659,5.143,4.885,3.418,2.984,1.409,Middle East,Low Income,Global South,World 3,East,Asia,Non-Developed,Non-Developed,Non-High Income
Zambia,3.912,0.848,1.013,0.233,0.872,0.131,0.107,3.912,few_shot,5.220000000000001,4.345000000000001,7.025,5.925,5.8950000000000005,3.54,2.74,5.220000000000001,1.3080000000000007,1.3080000000000007,3.4970000000000008,6.0120000000000005,5.692,5.023000000000001,3.409,2.633,Other,Lower Middle Income,Global South,World 2,Other,Other,Non-Developed,Non-Developed,Non-High Income
Zimbabwe,3.396,0.827,0.961,0.178,0.598,0.065,0.131,3.396,few_shot,4.705,3.685,6.965000000000001,5.865,5.075,3.305,1.91,4.705,1.3090000000000002,1.3090000000000002,2.858,6.004,5.687,4.477,3.24,1.779,Other,Lower Middle Income,Global South,World 2,Other,Other,Non-Developed,Non-Developed,Non-High Income
Afghanistan,1.364,0.649,0.0,0.155,0.0,0.075,0.135,1.364,initial,5.26,3.895000000000001,7.390000000000001,5.975,4.13,3.765,1.84,5.26,3.896,3.896,3.2460000000000004,7.390000000000001,5.819999999999999,4.13,3.69,1.7049999999999998,South Asia,Low Income,Global South,World 3,East,Asia,Non-Developed,Non-Developed,Non-High Income
Albania,5.411,1.371,1.122,0.696,0.841,0.103,0.057,5.411,initial,6.845000000000001,5.45,8.2,6.76,7.01,3.715,2.66,6.845000000000001,1.434000000000001,1.434000000000001,4.079000000000001,7.077999999999999,6.064,6.169,3.612,2.603,Other,Upper Middle Income,Global South,World 2,Other,Other,Non-Developed,Non-Developed,Non-High Income
Algeria,5.571,1.315,1.363,0.782,0.522,0.057,0.219,5.571,initial,6.55,4.985,8.025,6.495,6.1450000000000005,3.555,2.405,6.55,0.979,0.979,3.67,6.662000000000001,5.713,5.623,3.498,2.1860000000000004,Africa,Upper Middle Income,Global South,World 2,Other,Africa,Non-Developed,Non-Developed,Non-High Income
Argentina,6.397,1.504,1.622,0.579,0.824,0.048,0.083,6.397,initial,6.63,4.095000000000001,8.290000000000001,6.640000000000001,6.915000000000001,3.595,2.155,6.63,0.2329999999999996,0.2329999999999996,2.5910000000000006,6.668000000000001,6.061000000000001,6.091000000000001,3.547,2.072,Latin America,Upper Middle Income,Global South,World 2,West,South America,Non-Developed,Non-Developed,Non-High Income
Armenia,5.494,1.391,1.349,0.828,0.786,0.032,0.158,5.494,initial,6.855,5.470000000000001,8.32,6.625,7.040000000000001,4.08,3.305,6.855,1.3609999999999998,1.3609999999999998,4.079000000000001,6.971,5.797,6.254000000000001,4.048,3.147,Other,Upper Middle Income,Global South,World 2,Other,Other,Non-Developed,Non-Developed,Non-High Income
Australia,6.974,1.767,1.647,0.841,0.857,0.164,0.285,6.974,initial,7.345000000000001,6.44,8.440000000000001,6.98,7.609999999999999,4.545,6.475,7.345000000000001,0.3710000000000004,0.3710000000000004,4.673,6.793000000000001,6.138999999999999,6.752999999999999,4.381,6.19,Oceania,High Income,Global North,World 1,West,Oceania,Anglo-Saxon,Developed West,Market Liberal
